North America Zero-Carbon GW,,,,,,,,,
,,,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
NAM Renewables 2024, 	646 , 	256 , 	185 , 	183 , 	4 , 	18 , 	105 ,,
Forecast NAM Renewables 2030, 	1067 , 	548 , 	304 , 	191 , 	6 , 	17 , 	104 ,,
,,,,,,,,,
Global Renewables (TW),NAM Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
8.0,1146,614,317,192,6,17,104,,
8.5,1195,650,329,192,6,18,104,,
9.0,1245,687,341,193,7,18,104,,
9.5,1294,723,353,193,7,18,104,,
10.0,1344,760,365,194,7,18,104,,
10.5,1394,796,378,194,7,18,104,,
11.0,1443,833,390,195,7,18,104,,
11.5,1493,869,402,195,7,19,104,,
12.0,1543,906,414,196,8,19,104,,
12.5,1592,942,427,197,8,19,104,,
13.0,1642,979,439,197,8,19,104,,
13.5,1692,1016,451,198,8,19,104,,
14.0,1741,1052,463,198,8,19,104,,
14.5,1791,1089,476,199,8,20,104,,
15.0,1840,1125,488,199,8,20,104,,
15.5,1890,1162,500,200,9,20,104,,
