OECD Pacific Zero-Carbon GW,,,,,,,,,
,,,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
OPA Renewables 2024, 	316 , 	207 , 	23 , 	68 , 	2 , 	17 , 	59 ,,
Forecast OPA Renewables 2030, 	565 , 	377 , 	90 , 	78 , 	3 , 	17 , 	66 ,,
,,,,,,,,,
Global Renewables (TW),OPA Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
8.0,559,367,92,79,3,17,66,,
8.5,583,389,95,80,3,17,66,,
9.0,608,410,97,80,3,17,66,,
9.5,632,431,100,81,3,17,66,,
10.0,657,452,102,82,3,17,66,,
10.5,681,474,105,82,3,17,66,,
11.0,706,495,107,83,3,17,66,,
11.5,731,516,110,84,3,17,66,,
12.0,755,538,112,84,3,17,66,,
12.5,780,559,115,85,3,17,66,,
13.0,804,580,117,86,4,18,66,,
13.5,829,602,120,86,4,18,66,,
14.0,853,623,122,87,4,18,66,,
14.5,878,644,125,87,4,18,66,,
15.0,902,665,127,88,4,18,66,,
15.5,927,687,130,89,4,18,66,,
