Southeast Asia Zero-Carbon GW,,,,,,,,,
,,,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
SEA Renewables 2024, 	131 , 	40 , 	13 , 	63 , 	5 , 	9 , 	0 ,,
Forecast SEA Renewables 2030, 	292 , 	144 , 	42 , 	89 , 	7 , 	9 , 	0 ,,
,,,,,,,,,
Global Renewables (TW),SEA Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
8.0,340,185,48,91,7,10,0,,
8.5,375,213,52,93,7,10,0,,
9.0,415,245,58,94,7,10,0,,
9.5,450,274,63,96,7,10,0,,
10.0,490,306,68,98,7,10,0,,
10.5,525,335,73,99,8,10,0,,
11.0,565,367,79,101,8,11,0,,
11.5,600,395,84,102,8,11,0,,
12.0,640,428,89,104,8,11,0,,
12.5,675,456,94,106,8,11,0,,
13.0,715,489,99,107,8,11,0,,
13.5,750,517,104,109,8,11,0,,
14.0,790,549,110,111,8,12,0,,
14.5,825,578,115,112,8,12,0,,
15.0,865,610,120,114,8,12,0,,
15.5,900,639,125,116,9,12,0,,
